customer_id,customer_taxonomies
C00001,regular
C00002,new
C00003,price_sensitive
C00004,regular
C00005,regular
C00006,occasional
C00007,new
C00008,regular
C00009,occasional
C00010,occasional
C00011,price_sensitive
C00012,premium
C00013,regular
C00014,regular
C00015,price_sensitive
C00016,premium
C00017,premium
C00018,new
C00019,premium
C00020,premium
C00021,occasional
C00022,price_sensitive
C00023,price_sensitive
C00024,price_sensitive
C00025,new
C00026,occasional
C00027,occasional
C00028,regular
C00029,regular
C00030,new
C00031,new
C00032,occasional
C00033,regular
C00034,regular
C00035,new
C00036,regular
C00037,new
C00038,price_sensitive
C00039,price_sensitive
C00040,regular
C00041,new
C00042,new
C00043,price_sensitive
C00044,regular
C00045,price_sensitive
C00046,occasional
C00047,new
C00048,occasional
C00049,new
C00050,new
C00051,price_sensitive
C00052,price_sensitive
C00053,premium
C00054,regular
C00055,new
C00056,price_sensitive
C00057,price_sensitive
C00058,regular
C00059,occasional
C00060,new
C00061,regular
C00062,premium
C00063,price_sensitive
C00064,occasional
C00065,regular
C00066,price_sensitive
C00067,price_sensitive
C00068,occasional
C00069,regular
C00070,regular
C00071,regular
C00072,regular
C00073,new
C00074,new
C00075,new
C00076,premium
C00077,occasional
C00078,regular
C00079,regular
C00080,price_sensitive
C00081,new
C00082,regular
C00083,regular
C00084,regular
C00085,premium
C00086,regular
C00087,price_sensitive
C00088,price_sensitive
C00089,regular
C00090,new
C00091,regular
C00092,price_sensitive
C00093,regular
C00094,regular
C00095,price_sensitive
C00096,regular
C00097,regular
C00098,new
C00099,regular
C00100,premium
C00101,regular
C00102,price_sensitive
C00103,new
C00104,price_sensitive
C00105,regular
C00106,regular
C00107,occasional
C00108,premium
C00109,premium
C00110,regular
C00111,regular
C00112,regular
C00113,new
C00114,regular
C00115,premium
C00116,regular
C00117,occasional
C00118,new
C00119,premium
C00120,regular
C00121,new
C00122,price_sensitive
C00123,regular
C00124,regular
C00125,occasional
C00126,price_sensitive
C00127,regular
C00128,new
C00129,new
C00130,price_sensitive
C00131,regular
C00132,regular
C00133,regular
C00134,new
C00135,price_sensitive
C00136,regular
C00137,occasional
C00138,new
C00139,regular
C00140,regular
C00141,regular
C00142,occasional
C00143,price_sensitive
C00144,new
C00145,price_sensitive
C00146,new
C00147,price_sensitive
C00148,regular
C00149,price_sensitive
C00150,regular
C00151,regular
C00152,regular
C00153,regular
C00154,regular
C00155,regular
C00156,occasional
C00157,regular
C00158,regular
C00159,price_sensitive
C00160,premium
C00161,regular
C00162,new
C00163,price_sensitive
C00164,regular
C00165,occasional
C00166,premium
C00167,regular
C00168,regular
C00169,occasional
C00170,new
C00171,new
C00172,price_sensitive
C00173,price_sensitive
C00174,occasional
C00175,occasional
C00176,premium
C00177,price_sensitive
C00178,premium
C00179,price_sensitive
C00180,price_sensitive
C00181,regular
C00182,premium
C00183,premium
C00184,price_sensitive
C00185,premium
C00186,price_sensitive
C00187,regular
C00188,regular
C00189,regular
C00190,new
C00191,regular
C00192,price_sensitive
C00193,regular
C00194,price_sensitive
C00195,new
C00196,price_sensitive
C00197,regular
C00198,regular
C00199,new
C00200,price_sensitive
C00201,regular
C00202,occasional
C00203,regular
C00204,new
C00205,occasional
C00206,new
C00207,new
C00208,price_sensitive
C00209,price_sensitive
C00210,price_sensitive
C00211,regular
C00212,regular
C00213,price_sensitive
C00214,premium
C00215,price_sensitive
C00216,regular
C00217,price_sensitive
C00218,price_sensitive
C00219,regular
